"HolderAddress","Quantity","PendingBalanceUpdate"
"0xaacb77d3e5231050720f8e9da9eb1db0098bf05a","492","No"
"0xec3ff2186dfbb45f8d549dc2884ce8b574dd16fe","190","No"
"0xa3a61dd7f1b59aac97a681335ec108704e53f513","160","No"
"0x3d00523185a50dce10bcaa52e7a0df19728f4416","113","No"
"0x5b6d6ac559d93e5333454e21455d4a1ffd15a1da","112","No"
"0xd5d0160fed6145a2d3f6418cdcae05ae71139c01","110","No"
"0x19890fa354279a314aad4423470ff790244b8380","101","No"
"0x2d8fc37354796ef2500fe87b0593060251b8ba86","100","No"
"0x585e99e445c938a955077de58587a75779bc2d10","100","No"
"0x4ba738148c1de69f8c11fbb7704436af30243fa9","91","No"
"0x1e4193d65c1b42077e4664df0150568783a0c735","80","No"
"0xead1d440ed15fc5ef1f23f8f80467c6167e2bf93","79","No"
"0x51d818605df26fbab1b8e54e376f625d72fa086f","70","No"
"0x705d0bb383ea21e5c9e674be76670ddbb4db6f76","70","No"
"0x8273f39d919d64b3bf510b5ce6d737c9a3990d9b","60","No"
"0xacb54bdb9c88d3ce1f49d8933a7e3f9b5264078a","60","No"
"0xc984c92296cb3e333b3c8f30672010463a789dda","60","No"
"0xcb305dd74f521e9bd8dffb3edd071ccfaacc20e9","60","No"
"0xcb9ec343576e452d549bfa57d969d83886c5dabf","59","No"
"0xd425888f230c9cac259fe0b88634acd1ee7c37fe","58","No"
"0x9f32cb3145541ec31317638f9a4d142811f24731","55","No"
"0x16f5966fcb3b2da5c976b31511dac8a1567681bb","52","No"
"0x86228b75231f4712501bc850c970572e0f47e99b","50","No"
"0x874683b39accd62b952d6f13e10e41ce8306af7c","50","No"
"0xe8705109159c47ca899a00e078e399b267cffea7","50","No"
"0xf49b9a3b0e9a673a7a11b7c0c18538a7db405a29","50","No"
"0x4eb784ebb9b4c3ada180cb23b70a01c330fb759c","42","No"
"0x59f4eeba1c5c38756d33826de35b37b7e088ba0e","41","No"
"0x08c5f4fb3498708231bc7b77def66dc4b04731e8","40","No"
"0x1141057d6f99e1a27298225ea1fef5f00de91423","40","No"
"0x77c334591cdc3a2cd0542b34305631102b038ce2","40","No"
"0xa083cc55d2ef0307f277880b5ca12fc92ad56bcf","40","No"
"0xc5518dfb40870fc5f08ab726ff646cb99a2f1cc7","40","No"
"0xeac4b95f296a2dcf4e2747ed9c619b76ab7664ce","40","No"
"0xec51d280fa2d817998ec41e8ca0383e7ef99c99b","39","No"
"0x3c244d90c9a25f8a67b81cbbf97f27e2cc8c1ae5","32","No"
"0x49810a486e2b793a214d37f0f0de6a3c3087900e","32","No"
"0x18ea4361346aee18b399bae484eb1d01f9dfec2f","31","No"
"0x26612fd55b9ba7a959f4ed5c9e7a6e7ed5b8146c","31","No"
"0xcbabd441e4000bbf6b7f8545b4788b2690e07ae7","31","No"
"0x21f6dda89a01aea2e8e046c33cc117088b5ca66c","30","No"
"0x2be2c312415f94d0142f682d1d15e7593beb95b3","30","No"
"0x4cc431229ceaecab1ee51b8228a3d92d2d5a006c","30","No"
"0x5f85a4983f54baeb6b9d0c6745faadae862b7bd2","30","No"
"0x6423d91e7e8b04d9f8157d50bec9c4f53e2c9292","30","No"
"0x74d493ae09f72a56c665a3c80bcca1c44d2b622f","30","No"
"0x76b81d179c09e0528b61903d219991d91c85a222","30","No"
"0x79a250fcae4a9870a34a0232eb75fdbd75bbfd76","30","No"
"0x8c35d076418836e5f90aab311300eec0194e182a","30","No"
"0x9a25feddde1f7424b778941effbfe7b3f85d7f5d","30","No"
"0x9cfe828f55a925872c1f16262df0636456037f40","30","No"
"0xa13e3072cc6f921eb90004fa5703305b5f88093f","30","No"
"0xaddb751d4246a1adb30c698369a5a32bcadb103a","30","No"
"0xaf8afdde58638f49c4c0650e6816dd082c4ac9ef","30","No"
"0xb239b34360a90315845b5ea3820f4342cdaeb1cb","30","No"
"0xb35f6901164fdf8d10e94669f05272a0003d842b","30","No"
"0xc264c0f2024425013e4c4ca2bde03281c06e677f","30","No"
"0xce1320ca406c8c4a32669b1fad04c42badd0df04","30","No"
"0xcf42032be14a9b12ada2f3b989e0fa3e61d0d97d","30","No"
"0xda703a67e7cee7d57d8d52f888612870e3c3f901","30","No"
"0xe3ffffffdcb1ad5dac2030f161febda0651a8d75","30","No"
"0xe4a180d6bf3331cdc7060cd66be3f5d1c635b46b","30","No"
"0xe4a798627fba3fdbe208809c3a731393db6d9e79","30","No"
"0xeca1f37b3bdcf8bb8727cfa7cdbf9b067eaec967","30","No"
"0xf5678c13e7c7bd9af912ead258919a01d66b9bb3","30","No"
"0xfa751e11eb5a6bb2f1acf16c3ea0d1e175ff774a","30","No"
"0x8d5c186acff43d7f2f7eae91587ff13a2bd6abcb","29","No"
"0x86e512bc3656a5571bebef8191e98ec41eefb536","25","No"
"0xc492e8e49ab8be74b70c7e6a9f707c84037a354c","24","No"
"0xd886503051a2a4201903e141b4c58131508531be","23","No"
"0xde7b7f229b379db5d5f7a761c0e0fcced9bc8507","23","No"
"0x1c9ccc675805f2ad6de5b55d63fdfd2c568e5a05","22","No"
"0x240e7603f3414810bbd9a71a1a94d76e84f75a4f","22","No"
"0x4c1e4e3a9c22d7a357c0ee958c43a60c51da50bc","22","No"
"0xa88907734d0da3af9726e1b2bec14e0875dee9e4","22","No"
"0xaa3740904142550c126f5bc9275d40abb3c7f312","22","No"
"0x088685271f0cf0c45c03b254c436746b03a5efa4","21","No"
"0x12eca8d8bc4c4fe4c0bc9b72ff04c4e40b006043","21","No"
"0x4cb6057fe1f21a274ffd22804b8c471c6f01bf6e","21","No"
"0x54e4f44ec5a3b12b6421879c4b98b23754be347a","21","No"
"0x62210695837bfc97a4676e2c455fad0b1af8c98f","21","No"
"0x63a71445792b7af8f78fc0fb9d475f03fa32cd83","21","No"
"0x6b873fce7f8c42ecef879ba804f1483499f35150","21","No"
"0xa740683dc22f9a58649e863aff3ea738ee69348c","21","No"
"0xbc25c3f77728ec52d1bd7f9449bde9d98056968a","21","No"
