"HolderAddress","Quantity","PendingBalanceUpdate"
"0xb2937626152956d7b5bfffd4a22d021c8592d6be","20","No"
"0xc5518dfb40870fc5f08ab726ff646cb99a2f1cc7","20","No"
"0x0c33cb6d97d35f8c638154b9ab4c1b162fed3649","12","No"
"0x9784a7861dbbb736deee0ee03f31af8e69b883b8","11","No"
"0x01cf90b0a87877e9016791997750b871cab70ff3","10","No"
"0x03f2efdcb4bf042edcebe7c2a22c8fcdb7e0af76","10","No"
"0x2799aa9a16592847fe8314fd6072a516402557ea","10","No"
"0x2872a7e0fceb3975cbbdc36a81d678941977727c","10","No"
"0x59c6c112547b9e9f884cd89ab2d0194c0cee5bcf","10","No"
"0x5e021ba73a2014e089bcbfc15cfe867606c6274e","10","No"
"0x636d26031441d889476ce82e60d94500d2496461","10","No"
"0x68f0b43ad26d43fe21ee155d9879cc7f6c997016","10","No"
"0x6f20f024a967b9030f5975e9dccc90bad57d9383","10","No"
"0x791a304547bbe77c3f780e0375762dce478a1c05","10","No"
"0x7968e6e01cd7353f9989cf4d6477787693871329","10","No"
"0x8bb34d77f0a588668b0400ec1ccc27568ce800d9","10","No"
"0x916375018b118eebb54eb77873e0a524a0959b34","10","No"
"0x96ab370638751c2eb503cbd74d78d44df6526f1c","10","No"
"0x98dbcf64eb5fa4443457d0a931dc35c7e1c08522","10","No"
"0xa17cc9878bfad3d3f7f511e9b97b8359b2777068","10","No"
"0xb7d672703e7987715912a0784be91b27d1098c89","10","No"
"0xcb456adae87589539c5c4bb67bff7696b4933b0e","10","No"
"0xd016593760dce2db66ee025c6c38fccc99cd6276","10","No"
"0xda3863583c9fcd8a5d3506d91aaf33157124d1d1","10","No"
"0xfbeb70ba1f8caa01464c35b7d23b0840632ae972","10","No"
"0xfe57b767bd580c29cfdafc66e6e175a45e0096a0","10","No"
"0xff7dbca36e35301d03f56cbec941425c33333333","10","No"
"0x227f2a622aeefeead40f3aa2b43388268a59de94","9","No"
"0x72b68ba6bab0a5c3862cf8fc9485abd5df54ab8c","8","No"
"0xe0c2e2920cb90aa58cf1b551ac87cf5285a1f13a","7","No"
"0x1326b92a232f53dbfe3ac5697e22c3c0a8a01681","6","No"
"0x0107a6972e279d56e6f35d009dd4f730cba9d9fa","5","No"
"0x4290802593ad45d597ed51c838912f5baf3477fa","5","No"
"0x5160d05f1bcef410e869978dd9ec0588a6e9a268","5","No"
"0x9dbd2d76c194d3636869ee44872e3806354c6bf0","5","No"
"0x3b9443d2d5fd3e9fdaa8dda2a9754881acdd680c","4","No"
"0x5fbd51a410a49d9370faff90ae09304f24895f5b","4","No"
"0x6800b7a17017d3915c4993fcc46753fe278a20ab","4","No"
"0x860a5c7b188ab61db6c658e3755df418403eaa0e","4","No"
"0xd1386560f0fa070b6b79e9968e8197cf17f3b8ae","4","No"
"0x00ea47df031bcd68c40a05c39e691fcfbc85d120","3","No"
"0x3c244d90c9a25f8a67b81cbbf97f27e2cc8c1ae5","3","No"
"0x4090cf3f6e39dabac71c0092394084db4f183599","3","No"
"0x62ac55582716eae4a94aefeaf01eba4ad66cba0e","3","No"
"0xc1b850bf1e80cc753a70c509cb673489e85ceaa8","3","No"
"0xc84d80f42522a56bd27fbbd8bd36907a52101078","3","No"
"0xd437c37c8d4042bae1b4faf4e3d6cab80ce39ce6","3","No"
"0x04214a953cf948242a16121cd96738fbd0fdc26a","2","No"
"0x0a9891b87c6de4911b4c6c45cc102fee718db3f7","2","No"
"0x0e1357d7fe6aab42a4acab8afdfa2fb4f12b859a","2","No"
