"HolderAddress","Quantity","PendingBalanceUpdate"
"0x46eaac7322ccd9e9d67972be00ad577c6a251cbc","1225","No"
"0xc5518dfb40870fc5f08ab726ff646cb99a2f1cc7","1102","No"
"0x9f4d63e8a99e27b2671d240ebaa90fd5d2815a65","666","No"
"0x158be2affa3328082a6341c2156afab9560be803","270","No"
"0x7aa58e5b1c588e5d744f43a0bd567f8ea7d837a7","230","No"
"0x4cc431229ceaecab1ee51b8228a3d92d2d5a006c","216","No"
"0xc984c92296cb3e333b3c8f30672010463a789dda","211","No"
"0x6e76fd582e28dbbd71dee0792f6893491eef529b","150","No"
"0xa64e694e83951e65094b5555bd921105eecbba26","150","No"
"0xcb86ef86ce3fc45e20f71f6ceb4d049a53358498","142","No"
"0x4d2f418e4e60499d872c7c4a309d088c1f2edd2a","134","No"
"0xfea2beda86eb519fbe6c920697f4a1b741d415f1","130","No"
"0x481e84ed7ba7b3bd057609815ca7d36506dfa53b","121","No"
"0xb69a98f9f25e08f8291a6a417ff3a7e7af839423","120","No"
"0x333f2ba1e49bcea8b1ad9f0d5083df596896cbed","112","No"
"0xf8b4b932305f196f34d63cd05d7376a258f22666","100","No"
"0x0e2a3f87092346a42d6ee984d19f9b7ec1fce4de","80","No"
"0x88c99090663ab67074aebc532f2cd9f596400843","80","No"
"0x83b8918d193e827470be76ad652641bd3f88acf6","74","No"
"0xcb9ec343576e452d549bfa57d969d83886c5dabf","73","No"
"0xcad17feceb9afbf3ed582aff7f53f175dcf2d5c0","69","No"
"0x5dad1ec89355b0aab74db67291457ad736668146","66","No"
"0x2fb238efeeae2e96a580619edba07a1dbf6959d8","63","No"
"0x356f41f1792d799e8a26923bee67093b5a8bbaad","60","No"
"0xa28eaa829fe2f502fa13c3ed939f3a7f6d960261","60","No"
"0xe20554cf01fbf0c759ff44efa68a089d4ebcff17","60","No"
"0xb688df3e059fb633c2ce2357099df315cb6e2ba8","54","No"
"0x0d728bce36fdba8ed63279c2fa93fd2c1dba3b1c","51","No"
"0xa3fbfc154c1e0db739616c90f570ce562cd61b0d","51","No"
"0x0ad10855e7d21173735859b6bd9ad5534c340b4d","50","No"
"0x0c666eb336144c57ab17f8a383d3a31dc91682b0","50","No"
"0x1c587c972b8d14da727b417a92f73e5a2654229b","50","No"
"0x4eb784ebb9b4c3ada180cb23b70a01c330fb759c","50","No"
"0x65b9384cbc657807e20f7d980a601b68b46b56a3","50","No"
"0x66182a53b8bd6761f6b91395235965c571b497dc","50","No"
"0x7b5906b3290468b78fd2eb456a1c915df07a2ff1","50","No"
"0xfd770fa6212926783c6f2d54346d43936b413ce1","50","No"
"0x791a304547bbe77c3f780e0375762dce478a1c05","48","No"
"0x1b9a645475216a3a888454dff9f422633a12ba68","41","No"
"0x07790de28d3b2a7a847acd6fc5e1720e93a308e4","40","No"
"0x751ca70b3f6d46d1d0a8cba558f4a856a79c8fb6","40","No"
"0x8658c5c6f8670fc9ab8bf289eca252d39e4edb51","40","No"
"0xa573cc791fb998dafdba499bd02de292a292ba55","40","No"
"0xd89234c684f752819602458fb924b53739044ad9","40","No"
"0xde7b7f229b379db5d5f7a761c0e0fcced9bc8507","40","No"
"0xe7d89d16cec674d22ea6e1bbd4c00164fad93c84","40","No"
"0xf276acf0681612f523cf205713e088e43226c519","40","No"
"0xff46a661e7448aa3f3f6ec3565b7b6889d5a3a79","40","No"
"0xc23dedab475717b5da0d2790a6a2fd4f776ccdef","36","No"
"0x955356bc963391d0d77cd85a86ed770646b4e036","34","No"
"0xe07c2179c20afdc99d72f0c27eff59308dede929","33","No"
"0xcab0d0f00d53e50ddbc01c377ad8654596745e4e","32","No"
"0x50bedd3dd7677c51bf601fdd1b47b4d37eff5d6a","31","No"
"0x51d182a04a9f22fdf424dc854cc6c7be70259024","31","No"
"0xc00665adc72aac81afc05e2b1fe04f17660ae0dd","31","No"
"0x18c948f09aeced29f2c8501eb9f027ddc1647f49","30","No"
"0x1f906ab7bd49059d29cac759bc84f9008dbf4112","30","No"
"0x2189a7cb20f0c355bcf085075b4ff43f8e56c750","30","No"
"0x2f9c59a629aef0471c07aa56e00b81134770e384","30","No"
"0x5888fc11945f0b1503c9be2f2db2d4a5b09ecb74","30","No"
"0x66055c663f81ea2239fe9768e2b40f615a5021c0","30","No"
"0x8e5b810902679b6422d32960e6b5401142cab67c","30","No"
"0x9a8ec9dbb6ae0c779afd1b21bd4eece23f17d173","30","No"
"0xac135504c7f76bf15c92a4497f3a668c538fa77d","30","No"
"0xbc856dad4b3715057699dbf6ff8a372a663456b6","30","No"
"0xc9d30add02be96e992c5b0df67f33595173c588a","30","No"
"0xd9c044a8f6cb4872fda96811dc743093f193699b","30","No"
"0xe5e2e350696e6000914589efb9b2004d5f1d115c","30","No"
"0xed0526c5e0f8a052f4a996c8ebb2dcb33d2d529a","30","No"
