"HolderAddress","Balance","PendingBalanceUpdate"
"0xa53db120a4af6361c9ef1f13e6d32368c93fb7ee","182,116,315.124705261291582064","No"
"0x45713d4f3ed5fa47ead1eab0c2165f28330fdf74","154,532,400","No"
"0x7961e6d441d1a028040bc19f000c8542df1468b4","125,000,000","No"
"0xf2a3300eb0574951e893ebff15089edb38fcfa3e","123,168,628.2796993123","No"
"0x3ca8a28711cd3dc75e8bb45b8e58590b3a32307a","108,893,247.479986298605160615","No"
"0x0320bc0468b16aafa7c0bb8a09ed7eb44d3b6f46","99,584,291","No"
"0x666d9c12cf0b64eaefe611105d6714d34bcc88ef","51,397,543.57045454782","No"
"0xce99861f0244d6478a309e2c2565fdaaaa8b0bfb","34,477,561.227523854453163172","No"
"0xce0cc1bbd23db9f661928c08249c650dfffbd07f","22,983,576.831070838478293589","No"
"0xba0ab3161197439c073e1cc6d5197b138f1c2148","11,490,869.730083173940763924","No"
"0x3182aca7bd51c428ec9f36fa79a4bacb30789f66","8,265,486.831612126588755404","No"
"0x9dd361cf608bcacdc21effd2273c60afe2df3637","7,032,244.794694302666701272","No"
"0x0d0707963952f2fba59dd06f2b425ace40b492fe","5,393,908.893143377721732861","No"
"0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88","4,615,081.529735362774443047","No"
"0x97b9d2102a9a65a26e1ee82d59e42d1b73b68689","4,537,141.821367121365","No"
"0x3cc936b795a188f0e246cbb2d74c5bd190aecf18","3,457,830.384335078049166051","No"
"0x739b355dcbb9c5163fb17ad381b1fc79b094bbfb","1,902,116.075091851524591271","No"
"0x93a7d42b215a48000c7a812c18b79b03c37cde03","1,805,864.209543717416965523","No"
"0x5897d90c5673509f089cc723ef52643d92ad8490","1,721,813.507071233988291891","No"
"0xa583732c7c097e4d7cc4de41e93ac1d37c143b15","1,468,401.170267489711934156","No"
"0xc8b23adfda144d6716437b937ff84b1bee5109e7","1,400,000","No"
"0x47f7d2656944fca360789891f9c28176094145e0","1,145,863.9801773604590506","No"
"0x1cad29bfb06246ea568503900cc332adb36066d8","1,036,339.246254274618906856","No"
"0xe0d69323db0267714ef459502118044a7f95b464","919,252.58928606284526311","No"
"0x7a151e5e5ad533d3e9ccbaf93700bc92ada88ae2","817,858.318571407871094882","No"
"0x655153d19e9d5acd03692948e08f48b57ffcf1b1","802,927.568313892910704118","No"
"0xfcfb5e9d243c862ae7da3c2f1c10636277728644","763,457.683672970992880492","No"
"0xf14e0de572a949923a1aff9286f0b90054b7d009","731,066.32","No"
"0x308136549c3c278e65986952afb515c4e2908a3d","700,000","No"
"0xd69e63c3223f881a411a9264f8ab6adbf6b3b48e","683,526.767361050522964122","No"
"0x2b20956f111199b4815094d43f13767dacfc2dc6","615,074.370634658303341294","No"
"0xb789cec98d5a5f3f693c719e1b08d8529651a88e","565,000","No"
"0x497cf6e16469ca9033f59a2c0c42782674f3aa05","554,920.11650600762182435","No"
"0xa995910658808c859623c0fe2ff53e432a236739","450,000","No"
"0x42b15b64b6d1638ed91a86cac30a36313b6c8c5d","422,113.872253839205058717","No"
"0x79eb6ace59cb395a71a61475dafc9a611473439a","400,787.014733608733279269","No"
"0x552aef9e08fb5de3d935693efc0f9dc5906b8210","380,264.381866713948659164","No"
"0x4fe418bbdc86e7c4c9a20fd62e001d53de0d736e","373,202.9","No"
"0xedbacb673b8453e23d8ee8f93f1961c6e033fc2c","365,582.6672727273","No"
"0x2830feb6d8707d0a49e9c42264280469a4ddd0e5","363,651.66","No"
"0xe839556508a35ebda4841dbe87b7cc99323ee0bf","336,224.569050478264469311","No"
"0x2cee779fd4c69fee1692b976068a021f12b79c42","334,421","No"
"0xa8e3b77e39bc3976afeb22dd093368d9c49f8876","333,785.95464037132928059","No"
"0x7136c9fb38d68c784867fd60adc9a47cd94966a4","323,388.876468","No"
"0x2ab6cb70820e2eaefbedcfb3ca6985b899eede14","323,103.855262086673196542","No"
"0xcfcb511d1d0407a267fcd8fe36bab0ed73ab4069","321,862.34770392723743948","No"
"0x06328d342974dde67633ff1cd26c224395892fb1","308,011.217218843565667271","No"
"0xbfd775e5a92bf25b40549b43e49f91f334f6247d","290,371.605792980479558192","No"
"0xe0200a9b8264d291854fef28c0548cf451cf6ab5","285,947.114047174112495765","No"
"0x4a68413f8ddc1eb08b7b86ef179053941a775887","269,954.137451049712375388","No"
"0x610f173bd8e8fcc35eae658ef3de535215bc422a","267,147.047250855655713693","No"
"0x286ffe215a1d4e24252b67aa69c448373e7a995f","257,810.879724780506173254","No"
"0x5febb41b76bbe333d9ebd7fa777be852af5b1035","251,639.43388533001786567","No"
"0x830837e3e380be8b15e114f032ae6e629e7c9fc7","250,229.025832789216910561","No"
"0x9d03687d63ec77783f756bb65aad4dcaf3ca530c","240,000","No"
"0x9508232030c3e9f9a1dcf8afdbf0150e73226763","238,346.612960260244595142","No"
"0x28a6ff81dad289352ba29d849527056e81d4ead0","236,553.090606560114902785","No"
"0x5e021ba73a2014e089bcbfc15cfe867606c6274e","236,173","No"
"0x5948e52d0469fcac4fab832766f2770b630c9470","226,349.858086274850750594","No"
"0x757209d30ae36a8fe9bf7b6c09382a80ea801370","224,325.924522184547614907","No"
"0x50fc185888d32c9d8f1588982cfaf622f7ae98ed","213,721.31","No"
"0x98d7d9cf3eb1981ef4ba0ced6f8c29b2194d11d4","206,104.781972240006231252","No"
"0xe841aafd376768b4b8093d44a35e444741ccb7c6","191,363.396243588071639714","No"
"0x9b7366a567948208f02e1adbce388b9cd192eed7","188,048.915706227569346582","No"
"0xcaacb5cc54097ab7088f6488e05a090be5665c8c","184,517.689687451066497214","No"
"0xb6b4ad6b147a32c4d58659efa2848e0b77bc025b","180,837.806658638603543569","No"
"0x03b1ee189c107bec52d90cb18c566b23a585353b","178,758.476963364698209837","No"
"0x5e7299c3e19e3c08283d7639f8cb9d966f428f0f","166,665.677761149679100578","No"
"0xc5fc55c9d70775a832ccab580cb59217c3740516","160,000.937172538391305428","No"
