HolderAddress,Balance,PendingBalanceUpdate
0x96e8925a759dc908e9bf9189685acdf1d991a98e,"49,638,498.545611547512942032",No
0xd8912300c2b96d9f2fb8f4a9cfea351ebe2a696e,"12,402,138.018700336657786575",No
0x16e4c01c54aebec6387c9868358fc501be12c05c,"8,319,411.190026515877847445",No
0x503838d8472fc8c37f436787f91a7c25da63ae48,"7,718,277.6062263",No
0x79083c25b5408b4e87855f9efa266cf370b2bd05,"7,415,361.158026147009487409",No
0x153903ee55eceacdeaee6c9d5b2b428b4e29b6eb,"3,138,613.745551456404342996",No
0xf089d3f715b7b6b1adbfb1e13c59811b277e93bf,"3,053,289.791092325718715625",No
0xa3ca69565160054e46de36359489cf2d2f18c72d,"2,398,822.90107308",No
0xc2c4d35c2d07747d1e0be36285d0e1c8ce707262,"1,969,090.68709654237843503",No
0x0639556f03714a74a5feeaf5736a4a64ff70d206,"1,440,659.437277771824",No
0x6e59be7e8caa02d52270a520410dc22c7b5944e5,"400,000",No
0xfcfb5e9d243c862ae7da3c2f1c10636277728644,"336,515.957693157398322858",No
0xfa3f8302d7f1ab5d25d0639d3cee0d2196a8ff0f,"330,781.230228855322690664",No
0x98d722e1963c823d06f43d4294320b47aa761041,"250,000",No
0x092faf7295ba6f30c4198737a9c1df165108a376,"229,332.285105847412621476",No
0x755a10ae32f1afcac1992d6023c69c01deec29ad,"187,250.30730924",No
0x93a7d42b215a48000c7a812c18b79b03c37cde03,"185,359.684047394288986208",No
0xe7885c1b04a81e635ca2f3d222853e9ad5a31882,"171,529.322263186582256027",No
0x2df28c270a9aceeaaadc6ca635a207cca88a203b,"137,794.371742114",No
0x2b1bbf7a8f80e0a51edb6c4b127a67c22c010376,"125,789.89612615867495754",No
0xab912f5e8fd03e5d0da7f3f1bc8f3fd3b027b0f8,"125,012.027433104702567373",No
0x08ddfd8a25220b92437799169767a800a7a36454,"118,018.333175073919143629",No
0x4b625e0672ed641aa86281610d27bd18b262d2c7,"114,224.389074501322598891",No
0xce1d7afddb6778710d5842a960d21947599e9b55,"102,995.23625",No
0x8971bc86b26a8c066428465a69494e0c0a5c5bcd,"101,804.63747",No
0xc1c4dcd1946570c0aff986d2273bbb02165928b4,"101,169.69444",No
0x42494e538dfdba81c79db44d9379d09b16b30e2e,"94,923.324213751830214009",No
0xd0abd51a23267806c51789c364dc54d530c0e82b,"93,536.939800939106758238",No
0xb6f67f980f46b60fa1d606165b5dd2601df4bb30,"93,272.218538350997901436",No
0x726cdc837384a7deb8bbea64beba2e7b4d7346c0,"89,095.030560969194945146",No
0x1d3800486fa97de58fecdd6be0b2d0b4d6bac3c1,"82,074.172886843363448328",No
0x97a751d7f919d449b8271d5d5f189c2ad541eb8f,"78,478.872068001403623315",No
