"HolderAddress","Balance","PendingBalanceUpdate"
"0x238a0b401403830724cfd258bcc07b09f0e87303","529,118,217.832991162837995037","No"
"0xdba68f07d1b7ca219f78ae8582c213d975c25caf","97,799,999.999999999999999999","No"
"0x744a6ef0d1ec1129f83ae94f4a8d64a16e2611d7","80,181,717.676961283815010166","No"
"0x7bff82c27fa7ad2e04beb543404808599f90cd10","27,464,160.180715317341653595","No"
"0x5efb425c71379fa85ecfc6cfaaf8110bb748655b","16,916,103.941537394687923729","No"
"0xbe58a155c6f864410dee965b2427ec4b4cb6bf38","13,311,265.370687275379067153","No"
"0x32f073e380fac51ef34c409e421e3052d5bc6f16","8,783,444.516506753665238869","No"
"0xe68de1a549063df3b7695addcd9ff0f646c4bb50","7,951,423.969644340436624145","No"
"0x30e8b02e0db5a05bbfc4eec38dd8b07cdbc96f12","6,083,611.529600824003026704","No"
"0xf330478fc27dc89bf1405cbc398fdc67dde4d936","5,830,695.620221182085532067","No"
"0xa7577f841d95b1331954c936d71fe45ba2f62fe5","4,375,830.845140285221766686","No"
"0x218497ad97886ad4c0bc8af4cc484508245dd8f2","4,321,257.494330985966392991","No"
"0x4c48ec3e2f8c9d18235df31d30501c268d12e300","3,563,409.758556352002943704","No"
"0x5136a9a5d077ae4247c7706b577f77153c32a01c","3,545,807.204624894461022688","No"
"0x9bdbde254f91d104cf41674b56a19ba60427251e","3,542,426.83073855657629804","No"
"0x9b19858616abba3525c99a2b09b1c0f2f02d0179","3,235,844.169462201584226897","No"
"0xde2474b5de86780d75bffc03c5ae833275dfee09","3,166,367.482460218158486192","No"
"0xb32faeeb669369e2056dfe05a5caea49d0ace009","3,155,778.472801458941032327","No"
"0xf1f4e643531267252d725e3d0efa6b9626ddaa53","3,094,745.889722218496660765","No"
"0xab1d52926a2bedccd478fb800e124db731268897","3,017,186.050825980152287164","No"
"0x76bfa643763eed84db053741c5a8cb6c731d55bc","2,982,336.354922136319622556","No"
"0x0b88c6441e59135e07c32b6e66781f7507c51b68","2,667,747.105054426496451661","No"
"0xd6149e61be075f2e364f3662ebb10a4b595af2ac","2,375,522.23596544164246181","No"
"0x4ee328b1a07be5797149b67e7c4f5d0e57dd27c9","2,212,447.602780272023707943","No"
"0x1c631d9e015aefcc3e787008b855693a587f7c10","2,104,580.543393165333907896","No"
"0xe9b9313a7ab13953e23f5a79403a5847e887ed16","2,059,679.599431935938484872","No"
"0x6276ef2b62e6839216a970fb8d1e1887bccb7869","2,058,497.051596934145791476","No"
"0x55372f1ab251bcab919d63ac6339becfdca84319","2,024,505.920837545716157099","No"
"0x39968ddeb963397fe476132b8cf0981eb0759f73","2,006,543.74311742846939786","No"
"0xbd1aaf0c66d637e9160162e1dc44ad3a0de22d1e","2,000,000","No"
"0x0d1082e3118af552ad274a0e531ddbf84ff3b1b8","1,958,774.106325377212715871","No"
"0x00fbc64d2bc45ce6490c208b9577651062622d61","1,893,478.667263820146332984","No"
"0xb299c5ff91baab1c6e07ff8e4c45eec7a30d84cd","1,827,833.056715313532904454","No"
"0x2466d55e505a89ec80fc90ca03bf9ee747355f13","1,766,300.733985798078664434","No"
"0xad7d60c7eb647fde6b1796163e472bedf09b339c","1,733,372.531636931539300412","No"
"0xa19f04f1dfd16b4f6e290c9a1d8cdfac32e08138","1,689,094.933845235917126833","No"
"0x6b4c50835f2f410e048bb9ccae949650b02b54cc","1,674,986.650769367097516552","No"
"0x13c808c918f636b8e6107be362059478e62950ae","1,654,078.11764277375799258","No"
"0xf69def6be0e180473e4b475114f5c8c9cb14ccb4","1,644,765.406205929162811556","No"
"0xd5ef960deca97c52ce26f8762e5d795ab80aa8cd","1,545,422.513570741314172223","No"
"0xe559ec444c30acd6d884c10b581dccbdad6b4fff","1,541,778.124069871659324636","No"
"0x729e91d9e46d5b6dc21fc219b14d81616d5e7ada","1,500,000","No"
"0x4a448d5f28d78d61af89096b9b305089048162e1","1,498,800","No"
"0x21a32e5fa553063026a50775d54bd946cbd6f64a","1,438,577.585713861943663314","No"
"0x9284d2e8e31f68cc89859cfd14901a8d5074a500","1,430,911.904084237456348131","No"
"0xbf2760e5b6c044771085c6a1287f6ef6478f3af1","1,419,082.16049968011327863","No"
"0xa0de29822cbec675aeb17f29c3feb75feaea8972","1,379,104.154353222585121525","No"
"0x14439dbe3eacf79d66d11d866a38fff52fe67fac","1,356,476.362733828371477147","No"
"0x04d1cac68d67e1e002106e1115e6308d03445b28","1,210,809.005259687475602741","No"
"0x1955c2b0752f1eb9be44499710dd05fc7ad23f95","1,190,426.203303050164190885","No"
"0x529bc0b0d57cac38057028164234d8678f68ac14","1,159,982.561524365344489316","No"
"0x2385a68c6b6007933067a9c1148c1ed4ce14a864","1,143,610.255930126184716269","No"
"0xd29044f924885115d8541f663af1b22ab3ef7df9","1,113,891.401141661429075716","No"
"0x49932d8a618f51dcd908ab4180129cc9d7574809","1,076,886.211811113335772154","No"
"0x5f0de1157273cb2aa085bfaf60a7d2f066d5174b","1,071,962.927117186180058558","No"
"0x31a243599d6d3c6bc81460d5ca9538e8b6dd2762","1,055,555","No"
"0x83dc43fbe76e4deda98106f0302cc6bec32f9e31","1,049,062.500866369766287627","No"
"0x47b34882c4265df07d8513bfc7f35a289939ac56","1,042,594.610233086014692836","No"
"0x8bc0cdbf6f45cc79895e4c5cb9bcd7cfe8da74dd","1,040,595.291024856043480837","No"
"0x8dbc2e9a8743bef3d9c08cc1187cc9c67cdc4d1f","1,024,955.31885769275116515","No"
"0x541bba66c3a2c66f3093c4648e772112f10fe18c","1,000,292.69017202663331036","No"
"0xb95d0c5e313d68d8d6d0c502cd8897d2d29e1f91","1,000,281.059401555936821147","No"
"0xc1dfd16259c2530e57aea8a2cf106db5671616b0","1,000,000.999999999993446401","No"
"0xe76f811f25066a6e42466d8e47f7ec1a1306c565","1,000,000","No"
"0x067aa2ffdc80e558a2b01c349190eef0c6a773cf","1,000,000","No"
"0x1a95f1c8e16bbe0d6de83811140870c557c2f00b","1,000,000","No"
"0x936247462c499ae2fed59f06268ea76aaba39c43","1,000,000","No"
"0x2ff0118d39eedc4e384632954f282d69da293013","1,000,000","No"
"0xefca10489968944a2662983263c64484b2a7bd4a","990,762.063140953115784072","No"
"0xbfcf3bb98f00898c57c8e436e68b8bc09a591be4","988,454.826096891631291198","No"
"0xbb09672f652fefb8aec4943149689113246e561a","968,632.547239659109496278","No"
"0x4f285e99491f4b32b8c4672c6fb9ff081e405459","964,514.537026772683399928","No"
"0xffd038091c841ee1ecd6a35ed324f4a3a9c2a48c","961,642.070946509142369301","No"
"0xe2bacb3b3be81819cf8a8f6292592391e308aac4","927,004.44358209123401835","No"
"0xc18a2d50b798274c28dc3411fa60a4553d63573f","921,121.369631604179257865","No"
"0xff48f17e93a0173b1f4767c80c03d2857c729384","899,319.20670028385510027","No"
"0x19b927168996f0179fb1b57e8d27778e532f958a","880,962.744711828123905733","No"
"0xc1d8fffc14903e66fea31bcb7a70d8116f649e6c","880,362.908799053074867889","No"
"0xc8ef480cb0a0fc178aeeeed7cdfdf2394e7eb26f","873,257.396430055909467757","No"
"0x64ef243da2ac7f0cc4100487e3e34ffae7f79b41","845,701.652910756727754127","No"
"0x4fed6097145c2999888b73d884cbadaa575785d7","840,335.852273601004295445","No"
"0x6f73450eac63e12b9d23f594f4f0b9e7e7e92162","825,594.629794243247416831","No"
"0x5d1670ccd933d4cdb0390aa274705e119782b6ea","821,900.232340285338128191","No"
"0x90d9f88b901cf0b282bafaacbcca9be09d3cee69","808,963.854647260882115841","No"
"0x87d00ebfd95f8953cb76f8e3f15b5be188401c92","801,844.911479343429464138","No"
"0xe9c5fc5ddbcaa5240b3c6efdbae031a89aab01cc","800,014.388753142459948607","No"
"0x72724d18dd42e20fc095c3ef8af46e1634bc0a93","773,007.381842605585058028","No"
"0x66d9e19462e0689ad9a688e9242c3a67bd145137","750,801.943691702439804019","No"
"0x5948ed22cc99440a7f13b3992d23adbf674b5eac","748,836.358861591671730111","No"
"0xf85a1045120cdea9e15422ac2c5f3268e36b6096","706,251.049701961195289605","No"
"0x772c70f0aedd13c835120610c92e61ec1e6fee88","700,000","No"
"0xc8ceb178271dbbbafaabf8b164dfad7322e6f5b3","694,825.75024283309713952","No"
"0x04060e595015e26f9cf5fa55725fedb509dcebc1","681,946.159738064043405289","No"
"0x6abc0cd67713a75a53fd23b541b1461c468b0c53","666,002.840118137796084632","No"
"0xb69adbd590212c56d6ad51bd562eafee6647a0d0","648,387","No"
"0x88f9ec129eb8097ca18884e6797718945040fb3f","644,855.376242748948222152","No"
"0x2e00c9c9331c30701d9286aa618ef6a9d1b42978","644,670.685390207035845924","No"
"0xb64684f16d9ba58f0c98817c58e8a1341f380bc9","643,957.808074369857688661","No"
"0xf626a35b7e426b6196be2d2206b84efb2b8ba3f1","636,405.083475862161937554","No"
"0x822545552952c4ff0d769642c9c0cf040e13d42a","628,000","No"
"0xefacb3fb194d5e80e569b3ac50669cf22e48f63b","619,154.2841744634185799","No"
"0x55dc468c5d5873362bda0c84132218cc12a51f4a","617,484.029191635143112576","No"
"0xb24f0fc1f466258b6baff0cc54ff8348f153cd78","605,014.675436573930268119","No"
"0xbb76f0544701f1718ca49e549d28a8971c873401","602,306.294616669062934058","No"
"0xb9cb00fef9406211958bac6073558290aed8c1c1","600,000","No"
"0xc5d1e32d4e9d00b4ed3b5907c7e8d99eadcf641d","584,532.897480372481088965","No"
"0x38879de167b9c8b5b85f5a06039a7d5efd43d118","555,568.530680750533757812","No"
"0x7bd1a4ba09d9d579e8684af6baa2ab811c924db6","522,110.524318793871438486","No"
"0x073e187ad48c3c3895df45c0097b31e578b27df0","506,550.316871559975404117","No"
"0xba9220ed0422aa902989b9bb779ac5fb6f796aa9","505,394.062020495538731122","No"
"0x825b3edf71996ccc3619f9455888a828e352217a","505,078.039793028209369014","No"
"0xd3cfbf38b44b1f8b551241553ff457eb9d97039d","502,594.992908145560016915","No"
"0xf3b04785d4a3fd34e83ef74a78f0dc79cde93e3a","501,975.78865931973294042","No"
"0x55df87cfe1e1d8e0beb3d2b25d69bdf58f93337a","501,447.111133624568939311","No"
"0x91446867b11c4aa6d40b8460a724f9c99f741b2a","500,000","No"
"0x5ffbf53cce33cc278d6e44504bd5415add960e6f","500,000","No"
"0x2ea88d3ab922bdc989f8cec210385932b5517ca3","500,000","No"
"0xd74e63d3545a6c045a70d68c4a8d6560df71827c","500,000","No"
"0x66c45f787fa88964f0980e82872c560fc07eea17","500,000","No"
"0x8382e069fbb37198846c2db81fec94cdb9b5971c","500,000","No"
"0xea9c968d05e93039668afc1c7c49d16e103ec6ab","499,346.589685047714708239","No"
"0x4408b623ea5e46f9aa200449d9e8e86c05335375","498,586.405842210214296992","No"
"0x6a961c2b292895aee03d9424f7d101acde40a288","470,321.243300811576646207","No"
"0xd18e048265376d1be3e7154971c3bc8bd09197a5","464,879.333917893532714394","No"
"0xc505579f7b29a83df205ad72d8cc115ca5716d7a","461,548.906940966813461746","No"
"0x89ab1df42a43c2a17f6ada7d363a62f0cdfeda16","459,471.973190866210329404","No"
"0xa614b877370a9dfe09f60324b304341c493a1772","459,017.065755350019486324","No"
"0x7e6f6c2af1be8d840f12a7d0710ec173a4706ebe","449,002.520131727144272469","No"
"0xa8d7c8d1044d978e83981516cd6482f8213533a2","441,554.608961979852775857","No"
"0x13fa846ad34fde31b0db3254272a493b5cb5f474","440,000","No"
"0xd09d08236001f957019ecc43a373bb74f5508afa","436,636.880488602737619362","No"
"0xc8dc3bb306180716c5fc009283ed616b57a7d21b","435,360.892901280361700638","No"
"0x82281d5a11179df0743c6fd555324bb360f8eab7","434,035.408148892112539295","No"
"0xf84f3b1595fbe59655ae0cea85b41e1ba45cd912","430,839.323462957393312679","No"
"0x540d51dc5d74928245f15fc8b9d4125a8fe4c0a1","430,085.597058083316556417","No"
"0x9c5dd7d7f01abfc6514427a117da1168b2d24ec9","426,571.142926063361155032","No"
"0xae390759bf23cfd1da399b1e78337202af024dde","425,053.668988730963584497","No"
"0x8bcbb2b107b32fd444d3762c45722f0b6ac8d8f2","424,291.304618653257807169","No"
"0x9c01c5ff6939013ada895064ee85019cbe3a4add","424,251.979093166884203577","No"
"0x71c1934312ef41cf0530c3605f6e5f8504f49c71","413,142.034992131049973191","No"
"0x1af09e5cbb518d8393d251aded2919a187767b9d","411,965.104060702926787072","No"
"0x7e535fdd186b12ee9164ae9ffe1a539f24abd36e","408,000.168273977585264407","No"
"0x171a47c41c4873ebba706ec50ea8e8e0f20fa9b1","404,814.49333519723811424","No"
"0x96d67202e78f679dac6fe1766f1da9ca76271c47","400,839.88818208137282622","No"
"0x8c4a119a9f3427642db68fe56021f6ed56cd5791","399,827.181226135379882237","No"
