"HolderAddress","Quantity","PendingBalanceUpdate"
"0xf11bebb395b40ba8fc80c0123b420b1be62ab457","102","No"
"0x936247462c499ae2fed59f06268ea76aaba39c43","90","No"
"0xd1f985e8579c64434c42f1b60533ebe78021ee46","90","No"
"0x12c59fc646c9d59428c42b4fc64eb57421d64619","72","No"
"0x924fd6f8869239442d8a5d51cb53625f547b8e21","66","No"
"0x2ff0118d39eedc4e384632954f282d69da293013","64","No"
"0x1bf01c70f721c2bb5aee4dbabb6dea05a6f844fb","52","No"
"0x39968ddeb963397fe476132b8cf0981eb0759f73","48","No"
"0xfd987bc11cbc9632de36e93073e95b7d2b419fe6","32","No"
"0x3fab21548ed8329ce839f9a901f1e92a124f8a76","30","No"
"0xe9b9313a7ab13953e23f5a79403a5847e887ed16","25","No"
"0x44365f05eaee7fc6588d3889092e98385b705cec","24","No"
"0xcf3ae4eb223b9a4e59b92ed27c9ba8c8b83e1824","24","No"
"0xace7200499e7f5a2b767c4655238fb40273c67b3","21","No"
"0xc4cc364706fe781fb00a47badb297af36a482cc1","21","No"
"0x8382e069fbb37198846c2db81fec94cdb9b5971c","20","No"
"0xe9a985ffa4081ac8b233c91dc7ab4a4740f6af4c","20","No"
"0xf477197ba361294517e1eb8f963be617b99be92f","19","No"
"0xa28602f18eb877b0b929caaae94faed4ff402929","16","No"
"0xe8300fbfe3f0e6182cb797a1f9b4e6bb65961aa8","14","No"
"0xa3156179a9a2e6b207ca21e267665703f1ef7503","13","No"
"0xa4282ecf29133bbe1af7b4e50cc83c62b4f57f04","13","No"
"0xb0cfea22b93a4c85c46c55f6e665a77fefc5d197","13","No"
"0x1c602c05728dec7360caf00870fe5a5e88a31102","12","No"
"0xf3b5afdb2bde8980cbf092b8afc49ff54101ba25","12","No"
"0x4357606f63fbbaa06aebadd6a2f35ebfceb5388f","11","No"
"0x5f7eee7e7bb2cec4f9f32701afeafaea237cab6a","11","No"
"0x7eb61e0001b98e1fe6ba92789f5267b15a47261c","11","No"
"0xa76b0152fe8bc2ec3cbfac3d3ecee4a397747051","11","No"
"0x087ec1f07dc0810a0e98052d2e497efa679e3cb5","10","No"
"0x158a7ca18f4b9fc6a4ccfe3a97db0a53d4ce46d5","10","No"
"0x1955c2b0752f1eb9be44499710dd05fc7ad23f95","10","No"
