"HolderAddress","Quantity","PendingBalanceUpdate"
"0x03f2efdcb4bf042edcebe7c2a22c8fcdb7e0af76","1","No"
"0x0ef61626449e4c3430cfe7f06a6405d26b3b021c","1","No"
"0x3d00523185a50dce10bcaa52e7a0df19728f4416","1","No"
"0x6c1298e088d1eee8e2df160d3ce7ed4b67b12a3d","1","No"
"0x791a304547bbe77c3f780e0375762dce478a1c05","1","No"
"0x80475ececd1b7ec2cf6624b1a1705bbf3f20be94","1","No"
"0x8b2a8467d0b1ac6518fa13fe9ff0479963e88997","1","No"
"0xb63402696c6efab7d773ab1891dee49aaa4ef5ee","1","No"
"0xc5fc55c9d70775a832ccab580cb59217c3740516","1","No"
"0xf78ef100dd63f62cdc0ba7324b43ab7074e8262f","1","No"
