"HolderAddress","Quantity","PendingBalanceUpdate"
"0xbd395d7ce71aa2747673288119ce54ed03fc90ef","16","No"
"0x96706eb471f875a9a41442f358d3b34ba02f868b","11","No"
"0x1d09f4e29448f4ac9f29cc898b21a26957980ddb","3","No"
"0x675a1243ad6cb448c830e5683ee6bd5f6f9f3a8a","3","No"
"0x9627823b76decf20a2f422f53d765565e40f1e1d","3","No"
"0xad7b75f708ad84247a5e98bcaa5259efefa7aa82","3","No"
"0xdb2bccfb0428f6384f6571d4df48a639b593d15b","3","No"
"0x48a9f30c4b619aed265e145666abe572a1b27305","2","No"
"0x7d1deb3aa5dffd6b01e8f360a0f1fbfdedf3b0a7","2","No"
"0xf8b4b932305f196f34d63cd05d7376a258f22666","2","No"
"0xfc57eefec07c15c60b2be3dfa810af3e78d6fd42","2","No"
"0x6509b2f0b69747590c2d37f019cb5840d82349db","1","No"
"0xd5027f11ff85e22d95908fc8dd89c3c459612d23","1","No"
